category,item,part_file,qty_per_hand,material_or_vendor,specification,source_of_value,notes,filament_g_per_hand_est,unit_cost_usd,cost_group_and_source
Printed part,Flange — PiPER link6 mount,STL/printable_right/flange_piper_mount.stl,1,PLA (Bambu PLA Basic),122.4 x 50.0 x 125.0 mm bbox; solid 154.46 cm3,measured from mesh,Fixed joint link6_to_link_1dof; seats flat or wrist readings pick up a constant offset,78.3,,"Printed distal parts / fasteners, per console = ~60 (paper Table II)"
Printed part,Wrist axis-1 yoke,STL/printable_right/wrist_axis1_yoke.stl,1,PLA (Bambu PLA Basic),mass 80.84 g,URDF inertial (scaled to measured),Carries the bases of both wrist servos (two 20 x 20 mm hole patterns in the CAD),81.6,,"Printed distal parts / fasteners, per console = ~60 (paper Table II)"
Printed part,Wrist axis-2 handle,STL/printable_right/wrist_axis2_handle.stl,1,PLA (Bambu PLA Basic),mass 56.13 g,URDF inertial (scaled to measured),Operator grip body,58.9,,"Printed distal parts / fasteners, per console = ~60 (paper Table II)"
Printed part,Grasp lever 1,STL/printable_right/grasp_lever_1.stl,1,PLA (Bambu PLA Basic),20.5 x 62.3 x 32.0 mm bbox; solid 6.02 cm3,measured from mesh,Geared to lever 2; moves symmetrically,7.1,,"Printed distal parts / fasteners, per console = ~60 (paper Table II)"
Printed part,Grasp lever 2,STL/printable_right/grasp_lever_2.stl,1,PLA (Bambu PLA Basic),20.5 x 62.7 x 32.0 mm bbox; solid 6.02 cm3,measured from mesh,Geared to lever 1,7.4,,"Printed distal parts / fasteners, per console = ~60 (paper Table II)"
Printed part,Grasp mount plate,STL/printable_right/grasp_mount_plate.stl,1,PLA (Bambu PLA Basic),24.0 x 42.5 x 5.0 mm bbox; solid 1.77 cm3,measured from mesh,,3.2,,"Printed distal parts / fasteners, per console = ~60 (paper Table II)"
Printed part,Grasp pin 1,STL/printable_right/grasp_pin_1.stl,1,PLA (Bambu PLA Basic),"pin, 2 mm dia x 10.5 mm",measured from mesh,Lever pivot,0.1,,"Printed distal parts / fasteners, per console = ~60 (paper Table II)"
Printed part,Grasp pin 2,STL/printable_right/grasp_pin_2.stl,1,PLA (Bambu PLA Basic),"pin, 2 mm dia x 10.5 mm",measured from mesh,Lever pivot,0.1,,"Printed distal parts / fasteners, per console = ~60 (paper Table II)"
Printed part,Grasp cover,STL/printable_right/grasp_cover.stl,1,PLA (Bambu PLA Basic),63.7 x 45.6 x 21.0 mm bbox; solid 12.20 cm3,measured from mesh,,18.1,,"Printed distal parts / fasteners, per console = ~60 (paper Table II)"
Printed part,MCU base,STL/printable_right/mcu_base.stl,1,PLA (Bambu PLA Basic),30.0 x 23.0 x 3.0 mm bbox; solid 1.46 cm3,measured from mesh,Carries the XIAO board,2.6,,"Printed distal parts / fasteners, per console = ~60 (paper Table II)"
Printed part,Grasp sensor base,STL/printable_right/grasp_sensor_base.stl,1,PLA (Bambu PLA Basic),30 x 50 x 9.5 mm plate,measured from mesh,Grasp levers pivot in the centre holes; the sensor mounts on top. Released as STL only,5.6,,"Printed distal parts / fasteners, per console = ~60 (paper Table II)"
Structure,Console frame,CAD/console_frame/console_frame_v2.step,1,PLA,920 x 920 x 784 mm; single solid,measured from CAD,One per console (not per hand). Too large to print in one piece - needs splitting; pieces not in this release,,644,"Frame, arm supports, and mounts, 1 = ~644 (paper Table II)"
Actuator,MF4005-V2 CAN servo,,2,LKTech / MyActuator,12 V bus (12.3-12.5 V measured); CAN; multi-turn absolute encoder; torque constant 0.05 N*m/A (25T) / 0.07 N*m/A (40T) per datasheet,datasheet + measured on the rig,Command and reply share arbitration ID 0x140+ID - set IDs before assembly. Right wrist: ID 2 and 4. Left wrist: ID 2 and 6.,,180,"Direct-drive wrist actuators, 4 = ~720 (paper Table II); 720 / 4"
Sensor,Magnetic rotary encoder (AS5600 class),,1,ams-OSRAM AS5600 IC on a generic breakout (diametric magnet usually supplied),12-bit absolute; 4096 counts per revolution,firmware/host driver,Reads the geared lever pair as one grasp angle,,,"Grasp sensors + distal MCUs, 2+2 = 40 (paper Table II)"
Controller,Seeed XIAO nRF52840 Sense,,1,Seeed Studio,USB 2886:8045; streams grasp angle in degrees over USB CDC,enumeration log,Firmware not part of this release,,,"Grasp sensors + distal MCUs, 2+2 = 40 (paper Table II)"
Assembly,Gripper assembled mass,,1,,207 g,measured,"URDF inertials were uniformly scaled to this (URDF sum 203.0 g, factor 1.0197)",,,
Reference only,AgileX PiPER 6-DOF arm,,1,AgileX,Leader arm this gripper mounts on,,Vendor CAD not redistributed here,,1999,"PiPER 6-DoF arms, 2 = 3,998 (paper Table II); 3,998 / 2"
Reference only,Franka FR3,,1,Franka Robotics,Patient-side platform,,Not part of the leader design,,,
Reference only,Feetech STS3215 bus servo,,5,Feetech / Waveshare,1 Mbaud TTL bus; approx. 30 kgf*cm at 12 V; 1:345 gearbox,vendor spec + bring-up log,"Used in the patient-side EndoWrist instrument, not in the leader gripper",,,
